Especialidad,Sector,Dia,ceit
1,1,1,1529
1,1,2,1629
1,1,3,1562
1,1,4,1527
1,1,5,1454
1,1,6,1588
1,1,7,1463
1,1,8,1735
1,1,9,1778
1,1,10,1430
1,1,11,1675
1,1,12,1517
1,1,13,1541
1,1,14,1755
1,1,15,1243
1,1,16,1252
1,1,17,1212
1,1,18,1700
1,1,19,1667
1,1,20,1722
1,1,21,1787
1,1,22,1679
1,1,23,1477
1,1,24,1668
1,1,25,1271
1,1,26,1584
1,1,27,1286
1,1,28,1767
1,1,29,1513
1,1,30,1449
1,1,31,1359
1,1,32,1665
1,1,33,1474
1,1,34,1541
1,1,35,1211
1,1,36,1571
1,1,37,1567
1,1,38,1570
1,1,39,1766
1,1,40,1609
1,1,41,1416
1,1,42,1462
1,1,43,1619
1,1,44,1236
1,1,45,1600
1,1,46,1602
1,1,47,1326
1,1,48,1277
1,1,49,1389
1,1,50,1418
1,1,51,1542
1,1,52,1463
1,1,53,1793
1,1,54,1261
1,1,55,1325
1,1,56,1297
1,1,57,1592
1,1,58,1352
1,1,59,1480
1,1,60,1347
1,1,61,1295
1,1,62,1266
1,1,63,1594
1,1,64,1283
1,1,65,1318
1,1,66,1421
1,1,67,1693
1,1,68,1258
1,1,69,1703
1,1,70,1258
1,1,71,1786
1,1,72,1481
1,1,73,1786
1,1,74,1563
1,1,75,1644
1,1,76,1224
1,1,77,1370
1,1,78,1272
1,1,79,1378
1,1,80,1271
1,1,81,1391
1,1,82,1449
1,1,83,1238
1,1,84,1615
1,1,85,1540
1,1,86,1359
1,1,87,1514
1,1,88,1256
1,1,89,1546
1,1,90,1758
1,1,91,1391
1,1,92,1600
1,1,93,1279
1,1,94,1630
1,1,95,1374
1,1,96,1310
1,1,97,1552
1,1,98,1212
1,1,99,1697
1,1,100,1203
1,1,101,1607
1,1,102,1362
1,1,103,1641
1,1,104,1777
1,1,105,1349
1,1,106,1546
1,1,107,1555
1,1,108,1543
1,1,109,1334
1,1,110,1772
1,1,111,1468
1,1,112,1708
1,1,113,1620
1,1,114,1378
1,1,115,1688
1,1,116,1438
1,1,117,1729
