Dia,Desde,Hacia,Costo
Día 1,1,2,3355
Día 1,1,3,1154
Día 1,1,4,1004
Día 1,1,5,1186
Día 1,1,6,2469
Día 1,1,7,205
Día 1,1,8,2684
Día 1,2,1,3028
Día 1,2,3,2483
Día 1,2,4,3093
Día 1,2,5,2827
Día 1,2,6,2113
Día 1,2,7,1870
Día 1,2,8,3271
Día 1,3,1,1341
Día 1,3,2,2411
Día 1,3,4,798
Día 1,3,5,513
Día 1,3,6,1310
Día 1,3,7,1214
Día 1,3,8,2666
Día 1,4,1,1065
Día 1,4,2,3015
Día 1,4,3,931
Día 1,4,5,1225
Día 1,4,6,2258
Día 1,4,7,583
Día 1,4,8,3168
Día 1,5,1,1112
Día 1,5,2,2962
Día 1,5,3,392
Día 1,5,4,1244
Día 1,5,6,1443
Día 1,5,7,1032
Día 1,5,8,2219
Día 1,6,1,2529
Día 1,6,2,1906
Día 1,6,3,1145
Día 1,6,4,2580
Día 1,6,5,1528
Día 1,6,7,3530
Día 1,6,8,3057
Día 1,7,1,340
Día 1,7,2,2086
Día 1,7,3,1277
Día 1,7,4,356
Día 1,7,5,1159
Día 1,7,6,3546
Día 1,7,8,3491
Día 1,8,1,2767
Día 1,8,2,3327
Día 1,8,3,2651
Día 1,8,4,3287
Día 1,8,5,2249
Día 1,8,6,3073
Día 1,8,7,3754
Día 2,1,2,3232
Día 2,1,3,1034
Día 2,1,4,1104
Día 2,1,5,1263
Día 2,1,6,2266
Día 2,1,7,387
Día 2,1,8,2772
Día 2,2,1,3381
Día 2,2,3,2298
Día 2,2,4,3117
Día 2,2,5,2663
Día 2,2,6,2030
Día 2,2,7,1946
Día 2,2,8,3332
Día 2,3,1,1296
Día 2,3,2,2311
Día 2,3,4,906
Día 2,3,5,457
Día 2,3,6,1002
Día 2,3,7,1244
Día 2,3,8,2887
Día 2,4,1,1279
Día 2,4,2,3233
Día 2,4,3,643
Día 2,4,5,1283
Día 2,4,6,2385
Día 2,4,7,470
Día 2,4,8,3154
Día 2,5,1,1193
Día 2,5,2,2837
Día 2,5,3,310
Día 2,5,4,1129
Día 2,5,6,1766
Día 2,5,7,1138
Día 2,5,8,2206
Día 2,6,1,2213
Día 2,6,2,1899
Día 2,6,3,1324
Día 2,6,4,2343
Día 2,6,5,1633
Día 2,6,7,3757
Día 2,6,8,3091
Día 2,7,1,432
Día 2,7,2,1852
Día 2,7,3,1016
Día 2,7,4,538
Día 2,7,5,1125
Día 2,7,6,3486
Día 2,7,8,3799
Día 2,8,1,2772
Día 2,8,2,3225
Día 2,8,3,2792
Día 2,8,4,3153
Día 2,8,5,2475
Día 2,8,6,3092
Día 2,8,7,3792
Día 3,1,2,3387
Día 3,1,3,1126
Día 3,1,4,1016
Día 3,1,5,1205
Día 3,1,6,2284
Día 3,1,7,481
Día 3,1,8,2621
Día 3,2,1,3012
Día 3,2,3,2515
Día 3,2,4,3334
Día 3,2,5,2991
Día 3,2,6,2000
Día 3,2,7,1964
Día 3,2,8,3294
Día 3,3,1,1331
Día 3,3,2,2532
Día 3,3,4,755
Día 3,3,5,435
Día 3,3,6,1204
Día 3,3,7,1074
Día 3,3,8,2737
Día 3,4,1,1330
Día 3,4,2,3372
Día 3,4,3,704
Día 3,4,5,1194
Día 3,4,6,2295
Día 3,4,7,366
Día 3,4,8,3028
Día 3,5,1,1094
Día 3,5,2,2989
Día 3,5,3,285
Día 3,5,4,1165
Día 3,5,6,1705
Día 3,5,7,1222
Día 3,5,8,2327
Día 3,6,1,2495
Día 3,6,2,2150
Día 3,6,3,1025
Día 3,6,4,2526
Día 3,6,5,1724
Día 3,6,7,3724
Día 3,6,8,3165
Día 3,7,1,342
Día 3,7,2,1990
Día 3,7,3,1061
Día 3,7,4,206
Día 3,7,5,1349
Día 3,7,6,3657
Día 3,7,8,3697
Día 3,8,1,2816
Día 3,8,2,3383
Día 3,8,3,2719
Día 3,8,4,3232
Día 3,8,5,2590
Día 3,8,6,3391
Día 3,8,7,3425
Día 4,1,2,3174
Día 4,1,3,1155
Día 4,1,4,1118
Día 4,1,5,1031
Día 4,1,6,2246
Día 4,1,7,209
Día 4,1,8,2967
Día 4,2,1,3267
Día 4,2,3,2225
Día 4,2,4,3393
Día 4,2,5,2867
Día 4,2,6,2033
Día 4,2,7,1854
Día 4,2,8,3185
Día 4,3,1,1261
Día 4,3,2,2252
Día 4,3,4,981
Día 4,3,5,238
Día 4,3,6,1244
Día 4,3,7,1018
Día 4,3,8,2876
Día 4,4,1,1262
Día 4,4,2,3157
Día 4,4,3,847
Día 4,4,5,1160
Día 4,4,6,2541
Día 4,4,7,320
Día 4,4,8,3082
Día 4,5,1,1133
Día 4,5,2,2978
Día 4,5,3,482
Día 4,5,4,1078
Día 4,5,6,1660
Día 4,5,7,1114
Día 4,5,8,2331
Día 4,6,1,2277
Día 4,6,2,1992
Día 4,6,3,1049
Día 4,6,4,2307
Día 4,6,5,1466
Día 4,6,7,3541
Día 4,6,8,3173
Día 4,7,1,505
Día 4,7,2,2162
Día 4,7,3,1310
Día 4,7,4,258
Día 4,7,5,1250
Día 4,7,6,3742
Día 4,7,8,3637
Día 4,8,1,2864
Día 4,8,2,3325
Día 4,8,3,2726
Día 4,8,4,3384
Día 4,8,5,2529
Día 4,8,6,3197
Día 4,8,7,3410
Día 5,1,2,3373
Día 5,1,3,1393
Día 5,1,4,1380
Día 5,1,5,1361
Día 5,1,6,2418
Día 5,1,7,294
Día 5,1,8,2785
Día 5,2,1,3345
Día 5,2,3,2468
Día 5,2,4,3055
Día 5,2,5,2872
Día 5,2,6,2032
Día 5,2,7,2147
Día 5,2,8,3138
Día 5,3,1,1200
Día 5,3,2,2440
Día 5,3,4,745
Día 5,3,5,564
Día 5,3,6,1009
Día 5,3,7,1139
Día 5,3,8,2954
Día 5,4,1,1239
Día 5,4,2,3027
Día 5,4,3,953
Día 5,4,5,1359
Día 5,4,6,2435
Día 5,4,7,508
Día 5,4,8,3238
Día 5,5,1,1028
Día 5,5,2,2801
Día 5,5,3,323
Día 5,5,4,1318
Día 5,5,6,1732
Día 5,5,7,1391
Día 5,5,8,2590
Día 5,6,1,2247
Día 5,6,2,2105
Día 5,6,3,1192
Día 5,6,4,2322
Día 5,6,5,1693
Día 5,6,7,3663
Día 5,6,8,3382
Día 5,7,1,376
Día 5,7,2,1933
Día 5,7,3,1026
Día 5,7,4,468
Día 5,7,5,1331
Día 5,7,6,3631
Día 5,7,8,3775
Día 5,8,1,2658
Día 5,8,2,3018
Día 5,8,3,2756
Día 5,8,4,3096
Día 5,8,5,2333
Día 5,8,6,3203
Día 5,8,7,3464
Día 6,1,2,3363
Día 6,1,3,1234
Día 6,1,4,1281
Día 6,1,5,1334
Día 6,1,6,2307
Día 6,1,7,442
Día 6,1,8,2663
Día 6,2,1,3224
Día 6,2,3,2524
Día 6,2,4,3300
Día 6,2,5,2941
Día 6,2,6,2024
Día 6,2,7,2188
Día 6,2,8,3297
Día 6,3,1,1340
Día 6,3,2,2307
Día 6,3,4,712
Día 6,3,5,330
Día 6,3,6,1103
Día 6,3,7,1114
Día 6,3,8,2946
