Especialidad,Sector,Dia,keit
1,1,1,5
1,1,2,5
1,1,3,5
1,1,4,5
1,1,5,5
1,1,6,5
1,1,7,5
1,1,8,5
1,1,9,5
1,1,10,5
1,1,11,5
1,1,12,5
1,1,13,5
1,1,14,5
1,1,15,5
1,1,16,5
1,1,17,5
1,1,18,5
1,1,19,5
1,1,20,5
1,1,21,5
1,1,22,5
1,1,23,5
1,1,24,5
1,1,25,5
1,1,26,5
1,1,27,5
1,1,28,5
1,1,29,5
1,1,30,5
1,1,31,5
1,2,1,4
1,2,2,4
1,2,3,4
1,2,4,4
1,2,5,4
1,2,6,4
1,2,7,4
1,2,8,4
1,2,9,4
1,2,10,4
1,2,11,4
1,2,12,4
1,2,13,4
1,2,14,4
1,2,15,4
1,2,16,4
1,2,17,4
1,2,18,4
1,2,19,4
1,2,20,4
1,2,21,4
1,2,22,4
1,2,23,4
1,2,24,4
1,2,25,4
1,2,26,4
1,2,27,4
1,2,28,4
1,2,29,4
1,2,30,4
1,2,31,4
1,3,1,4
1,3,2,4
1,3,3,4
1,3,4,4
1,3,5,4
1,3,6,4
1,3,7,4
1,3,8,4
1,3,9,4
1,3,10,4
1,3,11,4
1,3,12,4
1,3,13,4
1,3,14,4
1,3,15,4
1,3,16,4
1,3,17,4
1,3,18,4
1,3,19,4
1,3,20,4
1,3,21,4
1,3,22,4
1,3,23,4
1,3,24,4
1,3,25,4
1,3,26,4
1,3,27,4
1,3,28,4
1,3,29,4
1,3,30,4
1,3,31,4
1,4,1,3
1,4,2,3
1,4,3,3
1,4,4,3
1,4,5,3
1,4,6,3
1,4,7,3
1,4,8,3
1,4,9,3
1,4,10,3
1,4,11,3
1,4,12,3
1,4,13,3
1,4,14,3
1,4,15,3
1,4,16,3
1,4,17,3
1,4,18,3
1,4,19,3
1,4,20,3
1,4,21,3
1,4,22,3
1,4,23,3
1,4,24,3
1,4,25,3
1,4,26,3
1,4,27,3
1,4,28,3
1,4,29,3
1,4,30,3
1,4,31,3
1,5,1,4
1,5,2,4
1,5,3,4
1,5,4,4
1,5,5,4
1,5,6,4
1,5,7,4
1,5,8,4
1,5,9,4
1,5,10,4
1,5,11,4
1,5,12,4
1,5,13,4
1,5,14,4
1,5,15,4
1,5,16,4
1,5,17,4
1,5,18,4
1,5,19,4
1,5,20,4
1,5,21,4
1,5,22,4
1,5,23,4
1,5,24,4
1,5,25,4
1,5,26,4
1,5,27,4
1,5,28,4
1,5,29,4
1,5,30,4
1,5,31,4
1,6,1,3
1,6,2,3
1,6,3,3
1,6,4,3
1,6,5,3
1,6,6,3
1,6,7,3
1,6,8,3
1,6,9,3
1,6,10,3
1,6,11,3
1,6,12,3
1,6,13,3
1,6,14,3
1,6,15,3
1,6,16,3
1,6,17,3
1,6,18,3
1,6,19,3
1,6,20,3
1,6,21,3
1,6,22,3
1,6,23,3
1,6,24,3
1,6,25,3
1,6,26,3
1,6,27,3
1,6,28,3
1,6,29,3
1,6,30,3
1,6,31,3
1,7,1,5
1,7,2,5
1,7,3,5
1,7,4,5
1,7,5,5
1,7,6,5
1,7,7,5
1,7,8,5
1,7,9,5
1,7,10,5
1,7,11,5
1,7,12,5
1,7,13,5
1,7,14,5
1,7,15,5
1,7,16,5
1,7,17,5
1,7,18,5
1,7,19,5
1,7,20,5
1,7,21,5
1,7,22,5
1,7,23,5
1,7,24,5
1,7,25,5
1,7,26,5
1,7,27,5
1,7,28,5
