Especialidad,Sector,Dia,qeit
1,1,1,2
1,2,1,0
1,3,1,5
1,4,1,1
1,5,1,0
1,6,1,0
1,7,1,0
1,8,1,0
1,1,2,2
1,2,2,0
1,3,2,4
1,4,2,1
1,5,2,0
1,6,2,0
1,7,2,0
1,8,2,0
1,1,3,2
1,2,3,0
1,3,3,4
1,4,3,1
1,5,3,0
1,6,3,0
1,7,3,0
1,8,3,0
1,1,4,2
1,2,4,0
1,3,4,4
1,4,4,1
1,5,4,0
1,6,4,0
1,7,4,0
1,8,4,0
1,1,5,2
1,2,5,0
1,3,5,4
1,4,5,1
1,5,5,0
1,6,5,0
1,7,5,0
1,8,5,0
1,1,6,2
1,2,6,0
1,3,6,5
1,4,6,1
1,5,6,0
1,6,6,0
1,7,6,0
1,8,6,0
1,1,7,2
1,2,7,0
1,3,7,3
1,4,7,1
1,5,7,0
1,6,7,0
1,7,7,0
1,8,7,0
1,1,8,2
1,2,8,0
1,3,8,4
1,4,8,1
1,5,8,0
1,6,8,0
1,7,8,0
1,8,8,0
1,1,9,2
1,2,9,0
1,3,9,5
1,4,9,1
1,5,9,0
1,6,9,0
1,7,9,0
1,8,9,0
1,1,10,2
1,2,10,0
1,3,10,5
1,4,10,1
1,5,10,0
1,6,10,0
1,7,10,0
1,8,10,0
1,1,11,2
1,2,11,0
1,3,11,4
1,4,11,1
1,5,11,0
1,6,11,0
1,7,11,0
1,8,11,0
1,1,12,2
1,2,12,0
1,3,12,5
1,4,12,1
1,5,12,0
1,6,12,0
1,7,12,0
1,8,12,0
1,1,13,2
1,2,13,0
1,3,13,3
1,4,13,1
1,5,13,0
1,6,13,0
1,7,13,0
1,8,13,0
1,1,14,2
1,2,14,0
1,3,14,4
1,4,14,1
1,5,14,0
1,6,14,0
1,7,14,0
1,8,14,0
1,1,15,2
1,2,15,0
1,3,15,5
1,4,15,1
1,5,15,0
1,6,15,0
1,7,15,0
1,8,15,0
1,1,16,2
1,2,16,0
1,3,16,4
1,4,16,1
1,5,16,0
1,6,16,0
1,7,16,0
1,8,16,0
1,1,17,2
1,2,17,0
1,3,17,4
1,4,17,1
1,5,17,0
1,6,17,0
1,7,17,0
1,8,17,0
1,1,18,2
1,2,18,0
1,3,18,4
1,4,18,1
1,5,18,0
1,6,18,0
1,7,18,0
1,8,18,0
1,1,19,2
1,2,19,0
1,3,19,4
1,4,19,1
1,5,19,0
1,6,19,0
1,7,19,0
1,8,19,0
1,1,20,2
1,2,20,0
1,3,20,4
1,4,20,1
1,5,20,0
1,6,20,0
1,7,20,0
1,8,20,0
1,1,21,2
1,2,21,0
1,3,21,4
1,4,21,1
1,5,21,0
1,6,21,0
1,7,21,0
1,8,21,0
1,1,22,2
1,2,22,0
1,3,22,4
1,4,22,1
1,5,22,0
1,6,22,0
1,7,22,0
1,8,22,0
1,1,23,2
1,2,23,0
1,3,23,4
1,4,23,1
1,5,23,0
1,6,23,0
1,7,23,0
1,8,23,0
1,1,24,2
1,2,24,0
1,3,24,3
1,4,24,1
1,5,24,0
1,6,24,0
1,7,24,0
1,8,24,0
1,1,25,2
1,2,25,0
1,3,25,3
1,4,25,1
1,5,25,0
1,6,25,0
1,7,25,0
1,8,25,0
1,1,26,2
1,2,26,0
1,3,26,3
1,4,26,1
1,5,26,0
1,6,26,0
1,7,26,0
1,8,26,0
1,1,27,2
1,2,27,0
1,3,27,4
1,4,27,1
1,5,27,0
1,6,27,0
1,7,27,0
1,8,27,0
1,1,28,2
1,2,28,0
1,3,28,4
1,4,28,1
1,5,28,0
1,6,28,0
1,7,28,0
1,8,28,0
1,1,29,2
1,2,29,0
1,3,29,5
1,4,29,1
1,5,29,0
1,6,29,0
1,7,29,0
1,8,29,0
1,1,30,2
1,2,30,0
1,3,30,4
1,4,30,1
1,5,30,0
1,6,30,0
1,7,30,0
1,8,30,0
1,1,31,2
1,2,31,0
1,3,31,5
1,4,31,1
1,5,31,0
1,6,31,0
1,7,31,0
1,8,31,0
1,1,32,2
1,2,32,0
1,3,32,4
1,4,32,1
1,5,32,0
1,6,32,0
1,7,32,0
1,8,32,0
1,1,33,2
1,2,33,0
1,3,33,3
1,4,33,1
1,5,33,0
1,6,33,0
1,7,33,0
1,8,33,0
1,1,34,2
1,2,34,0
1,3,34,4
1,4,34,1
1,5,34,0
1,6,34,0
1,7,34,0
1,8,34,0
1,1,35,2
1,2,35,0
1,3,35,3
1,4,35,1
1,5,35,0
1,6,35,0
1,7,35,0
1,8,35,0
1,1,36,2
1,2,36,0
1,3,36,4
1,4,36,1
1,5,36,0
1,6,36,0
1,7,36,0
1,8,36,0
1,1,37,2
1,2,37,0
1,3,37,5
1,4,37,1
1,5,37,0
1,6,37,0
1,7,37,0
1,8,37,0
1,1,38,2
1,2,38,0
1,3,38,3
1,4,38,1
1,5,38,0
1,6,38,0
1,7,38,0
1,8,38,0
1,1,39,2
1,2,39,0
1,3,39,3
1,4,39,1
1,5,39,0
1,6,39,0
1,7,39,0
1,8,39,0
1,1,40,2
1,2,40,0
1,3,40,3
1,4,40,1
1,5,40,0
1,6,40,0
1,7,40,0
1,8,40,0
1,1,41,2
1,2,41,0
1,3,41,4
1,4,41,1
1,5,41,0
1,6,41,0
1,7,41,0
1,8,41,0
1,1,42,2
1,2,42,0
1,3,42,3
1,4,42,1
1,5,42,0
1,6,42,0
1,7,42,0
1,8,42,0
1,1,43,2
1,2,43,0
1,3,43,4
1,4,43,1
1,5,43,0
1,6,43,0
1,7,43,0
1,8,43,0
1,1,44,2
1,2,44,0
1,3,44,4
1,4,44,1
1,5,44,0
1,6,44,0
1,7,44,0
1,8,44,0
1,1,45,2
1,2,45,0
1,3,45,5
1,4,45,1
1,5,45,0
1,6,45,0
1,7,45,0
1,8,45,0
1,1,46,2
1,2,46,0
1,3,46,3
1,4,46,1
1,5,46,0
1,6,46,0
1,7,46,0
1,8,46,0
1,1,47,2
1,2,47,0
1,3,47,4
1,4,47,1
1,5,47,0
1,6,47,0
1,7,47,0
1,8,47,0
1,1,48,2
1,2,48,0
1,3,48,4
1,4,48,1
1,5,48,0
1,6,48,0
1,7,48,0
1,8,48,0
1,1,49,2
1,2,49,0
1,3,49,4
1,4,49,1
1,5,49,0
1,6,49,0
1,7,49,0
1,8,49,0
1,1,50,2
1,2,50,0
1,3,50,4
1,4,50,1
1,5,50,0
1,6,50,0
1,7,50,0
1,8,50,0
1,1,51,2
1,2,51,0
1,3,51,4
1,4,51,1
1,5,51,0
1,6,51,0
1,7,51,0
1,8,51,0
1,1,52,2
1,2,52,0
1,3,52,5
1,4,52,1
1,5,52,0
1,6,52,0
1,7,52,0
1,8,52,0
1,1,53,2
1,2,53,0
1,3,53,5
1,4,53,1
1,5,53,0
1,6,53,0
1,7,53,0
1,8,53,0
1,1,54,2
1,2,54,0
1,3,54,4
1,4,54,1
1,5,54,0
1,6,54,0
1,7,54,0
1,8,54,0
1,1,55,2
1,2,55,0
1,3,55,3
1,4,55,1
1,5,55,0
1,6,55,0
1,7,55,0
1,8,55,0
1,1,56,2
1,2,56,0
1,3,56,4
1,4,56,1
1,5,56,0
1,6,56,0
1,7,56,0
1,8,56,0
1,1,57,2
1,2,57,0
1,3,57,4
1,4,57,1
1,5,57,0
1,6,57,0
1,7,57,0
1,8,57,0
1,1,58,2
1,2,58,0
1,3,58,4
1,4,58,1
1,5,58,0
1,6,58,0
1,7,58,0
1,8,58,0
1,1,59,2
1,2,59,0
1,3,59,3
1,4,59,1
1,5,59,0
1,6,59,0
1,7,59,0
1,8,59,0
1,1,60,2
1,2,60,0
1,3,60,4
1,4,60,1
1,5,60,0
1,6,60,0
1,7,60,0
