Especialidad,Dia,set
1,1,82569
2,1,72746
3,1,32206
4,1,16830
5,1,38167
6,1,28311
1,2,84210
2,2,68775
3,2,35686
4,2,15439
5,2,29647
6,2,23019
1,3,82059
2,3,70669
3,3,31839
4,3,21864
5,3,29479
6,3,26636
1,4,86758
2,4,68937
3,4,31105
4,4,17043
5,4,33793
6,4,28297
1,5,81883
2,5,64772
3,5,36541
4,5,14467
5,5,37233
6,5,21175
1,6,80634
2,6,63560
3,6,32161
4,6,20586
5,6,36398
6,6,23757
1,7,82582
2,7,67636
3,7,37678
4,7,18658
5,7,29656
6,7,22712
1,8,88180
2,8,64108
3,8,35114
4,8,20965
5,8,36163
6,8,26441
1,9,83459
2,9,66461
3,9,37890
4,9,13612
5,9,33926
6,9,24773
1,10,88459
2,10,70151
3,10,33129
4,10,14630
5,10,38723
6,10,23376
1,11,82088
2,11,67321
3,11,36050
4,11,13042
5,11,34193
6,11,27432
1,12,89233
2,12,66819
3,12,38301
4,12,13655
5,12,36040
6,12,23377
1,13,84306
2,13,71653
3,13,38739
4,13,17766
5,13,30414
6,13,27683
1,14,87202
2,14,71349
3,14,34943
4,14,15733
5,14,37950
6,14,22855
1,15,81471
2,15,63874
3,15,33406
4,15,20364
5,15,31360
6,15,23875
1,16,86004
2,16,68720
3,16,35463
4,16,18213
5,16,36684
6,16,29543
1,17,86575
2,17,65688
3,17,36258
4,17,16276
5,17,31552
6,17,25951
1,18,86763
2,18,70105
3,18,35864
4,18,16153
5,18,29249
6,18,25722
1,19,80989
2,19,69851
3,19,37409
4,19,17265
5,19,30150
6,19,22912
1,20,88666
2,20,63671
3,20,37228
4,20,17966
5,20,31286
6,20,23511
1,21,83749
2,21,64335
3,21,35536
4,21,17339
5,21,37314
6,21,27568
1,22,87834
2,22,66755
3,22,36974
4,22,20102
5,22,33787
6,22,25536
1,23,83370
2,23,65838
3,23,38779
4,23,16910
5,23,38686
6,23,23644
1,24,84858
2,24,64035
3,24,28967
4,24,21651
5,24,29898
6,24,22333
1,25,82771
2,25,72562
3,25,31663
4,25,12899
5,25,34569
6,25,26685
1,26,85283
2,26,63370
3,26,37659
4,26,13834
5,26,30662
6,26,25692
1,27,80428
2,27,69086
3,27,31264
4,27,12178
5,27,33204
6,27,23841
1,28,85086
2,28,71309
3,28,37158
4,28,17074
5,28,36881
6,28,22702
1,29,81577
2,29,69019
3,29,34788
4,29,15752
5,29,31717
6,29,23023
1,30,87016
2,30,69257
3,30,30104
4,30,12594
5,30,37904
6,30,24471
1,31,81078
2,31,71914
3,31,33345
4,31,13169
5,31,31939
6,31,26081
1,32,80644
2,32,65022
3,32,37009
4,32,15857
5,32,37864
6,32,26486
1,33,89824
2,33,64724
3,33,29141
4,33,13418
5,33,34123
6,33,25628
1,34,86014
2,34,67764
3,34,35122
4,34,13763
5,34,30425
6,34,28809
1,35,80731
2,35,68275
3,35,29078
4,35,18244
5,35,38526
6,35,23839
1,36,80005
2,36,68905
3,36,31794
4,36,21724
5,36,33361
6,36,28459
1,37,88537
2,37,66087
3,37,34860
4,37,17120
5,37,30719
6,37,23781
1,38,88175
2,38,68294
3,38,33259
4,38,16576
5,38,31504
6,38,26633
1,39,88937
2,39,67553
3,39,35177
4,39,12394
5,39,35796
6,39,21387
1,40,84207
2,40,71953
3,40,35129
4,40,17174
5,40,29375
6,40,26657
1,41,81266
2,41,65447
3,41,29271
4,41,15583
5,41,37343
6,41,27181
1,42,83805
2,42,71051
3,42,29982
4,42,18221
5,42,37298
6,42,29218
1,43,87541
2,43,69673
3,43,34253
4,43,21382
5,43,38465
6,43,29564
1,44,85848
2,44,65699
3,44,37294
4,44,14166
5,44,33622
6,44,27019
1,45,89140
2,45,65986
3,45,34655
4,45,17211
5,45,29674
6,45,25448
1,46,88310
2,46,70495
3,46,33508
4,46,21471
5,46,36386
6,46,23816
1,47,85184
2,47,69935
3,47,29537
4,47,12618
5,47,29515
6,47,27217
1,48,85474
2,48,71349
3,48,34201
4,48,21191
5,48,35509
6,48,24864
1,49,82826
2,49,63487
3,49,34044
4,49,19572
5,49,29681
6,49,25302
1,50,85247
2,50,63338
3,50,32840
4,50,13818
5,50,38666
6,50,21440
1,51,86767
2,51,63842
3,51,37583
4,51,17581
5,51,37950
6,51,22527
1,52,89719
2,52,67160
3,52,29887
4,52,20364
5,52,36410
6,52,22225
1,53,81699
2,53,71643
3,53,32693
4,53,21835
5,53,30982
6,53,21323
1,54,88533
2,54,70916
3,54,34838
4,54,19913
5,54,36319
6,54,30091
1,55,85430
2,55,66029
3,55,35968
4,55,15792
5,55,31653
6,55,28892
1,56,80865
2,56,65561
3,56,31295
4,56,17633
5,56,36676
6,56,28765
1,57,87358
2,57,63954
3,57,31919
4,57,17462
5,57,32835
6,57,23099
1,58,84787
2,58,65566
3,58,31999
4,58,18809
5,58,32910
6,58,21271
1,59,89429
2,59,67929
3,59,32735
4,59,19287
5,59,36995
6,59,27572
1,60,83168
2,60,71219
3,60,34872
4,60,20740
5,60,34594
6,60,21224
1,61,85281
2,61,65925
3,61,29054
4,61,13938
5,61,29592
6,61,24753
1,62,81221
2,62,62964
3,62,32941
4,62,15959
5,62,31444
6,62,23936
1,63,82508
2,63,65288
3,63,34336
4,63,15412
5,63,36952
6,63,22383
1,64,85600
2,64,65857
3,64,36338
4,64,15869
5,64,32911
6,64,27716
1,65,84740
2,65,71791
3,65,29234
4,65,21000
5,65,33041
6,65,25766
1,66,86870
2,66,67677
3,66,36394
4,66,18951
5,66,33064
6,66,21156
1,67,84298
2,67,64872
3,67,37331
4,67,13642
5,67,29548
6,67,22540
1,68,86833
2,68,72252
3,68,30673
4,68,19759
5,68,32337
6,68,26666
1,69,87857
2,69,71688
3,69,34285
4,69,14275
5,69,32361
6,69,21551
1,70,81840
2,70,70545
3,70,30649
4,70,21745
5,70,37134
6,70,27948
1,71,80528
2,71,65448
3,71,31625
4,71,20506
5,71,35937
6,71,27282
1,72,86013
2,72,69499
3,72,34927
4,72,16495
5,72,29769
6,72,27254
1,73,83041
2,73,62994
3,73,31409
4,73,15749
5,73,29346
6,73,25457
1,74,89238
2,74,63276
3,74,32887
4,74,12468
5,74,36608
6,74,27793
1,75,89467
2,75,71831
3,75,33457
4,75,18700
5,75,32232
6,75,21982
1,76,88489
2,76,66024
3,76,30780
4,76,21631
5,76,35901
6,76,25156
1,77,83303
2,77,66944
3,77,34971
4,77,16673
5,77,34580
6,77,28273
1,78,85371
2,78,69211
3,78,31929
4,78,16661
5,78,32234
6,78,23301
1,79,85638
2,79,70183
3,79,37468
4,79,20904
5,79,38377
6,79,28712
1,80,82300
2,80,70577
3,80,37308
4,80,20768
5,80,36736
6,80,24165
1,81,84713
2,81,66709
3,81,38903
4,81,21011
5,81,38224
6,81,25996
1,82,82010
2,82,72255
3,82,33662
4,82,18845
5,82,30121
6,82,29308
1,83,87125
2,83,65397
