Especialidad,Sector,Dia,ueit
1,1,1,44
1,1,2,39
1,1,3,41
1,1,4,44
1,1,5,48
1,1,6,51
1,1,7,41
1,1,8,49
1,1,9,43
1,1,10,39
1,1,11,36
1,1,12,49
1,1,13,40
1,1,14,36
1,1,15,38
1,1,16,41
1,1,17,36
1,1,18,51
1,1,19,51
1,1,20,40
1,1,21,46
1,1,22,43
1,1,23,52
1,1,24,42
1,1,25,36
1,1,26,53
1,1,27,49
1,1,28,50
1,1,29,41
1,1,30,46
1,1,31,43
1,1,32,44
1,1,33,41
1,1,34,48
1,1,35,43
1,1,36,52
1,1,37,42
1,1,38,53
1,1,39,48
1,1,40,40
1,1,41,38
1,1,42,47
1,1,43,44
1,1,44,49
1,1,45,36
1,1,46,42
1,1,47,52
1,1,48,43
1,1,49,47
1,1,50,40
1,1,51,41
1,1,52,39
1,1,53,36
1,1,54,44
1,1,55,45
1,1,56,39
1,1,57,38
1,1,58,42
1,1,59,40
1,1,60,52
1,1,61,45
1,1,62,42
1,1,63,43
1,1,64,39
1,1,65,53
1,1,66,52
1,1,67,38
1,1,68,49
1,1,69,48
1,1,70,38
1,1,71,36
1,1,72,40
1,1,73,42
1,1,74,47
1,1,75,47
1,1,76,46
1,1,77,38
1,1,78,52
1,1,79,49
1,1,80,41
1,1,81,53
1,1,82,42
1,1,83,40
1,1,84,46
1,1,85,45
1,1,86,44
1,1,87,53
1,1,88,37
1,1,89,40
1,1,90,36
1,1,91,43
1,1,92,44
1,1,93,49
1,1,94,41
1,1,95,47
1,1,96,46
1,1,97,52
1,1,98,49
1,1,99,51
1,1,100,43
1,1,101,41
1,1,102,43
1,1,103,37
1,1,104,43
1,1,105,42
1,1,106,41
1,1,107,50
1,1,108,36
1,1,109,48
1,1,110,39
1,1,111,52
1,1,112,51
1,1,113,43
1,1,114,37
1,1,115,52
1,1,116,41
1,1,117,50
1,1,118,37
1,1,119,50
1,1,120,40
1,1,121,42
1,1,122,49
1,1,123,48
1,1,124,39
1,1,125,48
1,1,126,52
1,1,127,53
1,1,128,51
1,1,129,36
1,1,130,46
1,1,131,39
1,1,132,37
1,1,133,46
1,1,134,47
1,1,135,47
1,1,136,45
1,1,137,41
1,1,138,53
1,1,139,38
1,1,140,43
1,1,141,53
1,1,142,36
1,1,143,36
1,1,144,37
1,1,145,47
1,1,146,40
1,1,147,52
1,1,148,52
1,1,149,37
1,1,150,50
1,1,151,44
1,1,152,47
1,1,153,38
1,1,154,47
1,1,155,36
1,1,156,36
1,1,157,46
1,1,158,43
1,1,159,38
1,1,160,37
1,1,161,37
1,1,162,39
1,1,163,38
1,1,164,37
1,1,165,50
1,1,166,47
1,1,167,51
1,1,168,36
1,1,169,51
1,1,170,36
1,1,171,41
1,1,172,50
1,1,173,47
1,1,174,38
1,1,175,40
1,1,176,40
1,1,177,39
1,1,178,40
1,1,179,46
1,1,180,46
1,1,181,53
1,1,182,42
1,1,183,43
1,1,184,40
1,1,185,43
1,1,186,45
1,1,187,46
1,1,188,46
1,1,189,50
1,1,190,40
1,1,191,39
1,1,192,47
1,1,193,36
1,1,194,46
1,1,195,52
1,1,196,49
1,1,197,48
1,1,198,48
1,1,199,44
1,1,200,45
1,1,201,46
1,1,202,40
1,1,203,45
1,1,204,36
1,1,205,37
1,1,206,46
1,1,207,48
1,1,208,41
1,1,209,47
1,1,210,51
1,1,211,39
1,1,212,52
1,1,213,39
1,1,214,48
1,1,215,37
1,1,216,42
1,1,217,50
1,1,218,39
1,1,219,52
1,1,220,39
1,1,221,50
1,1,222,37
1,1,223,35
1,1,224,50
1,1,225,41
1,1,226,44
1,1,227,45
1,1,228,40
1,1,229,49
1,1,230,52
1,1,231,50
1,1,232,38
1,1,233,45
1,1,234,45
1,1,235,35
1,1,236,43
1,1,237,51
1,1,238,38
1,1,239,42
1,1,240,46
1,1,241,39
1,1,242,41
1,1,243,45
1,1,244,40
1,1,245,53
1,1,246,52
1,1,247,47
1,1,248,45
1,1,249,48
1,1,250,38
1,1,251,41
1,1,252,53
1,1,253,43
1,1,254,43
1,1,255,51
1,1,256,42
1,1,257,40
1,1,258,46
1,1,259,39
1,1,260,40
1,1,261,42
1,1,262,38
1,1,263,48
1,1,264,51
1,1,265,52
1,1,266,49
1,1,267,40
1,1,268,50
1,1,269,46
1,1,270,44
1,1,271,51
1,1,272,44
1,1,273,47
1,1,274,52
1,1,275,43
1,1,276,50
1,1,277,52
1,1,278,52
1,1,279,43
1,1,280,52
1,1,281,50
1,1,282,52
1,1,283,38
1,1,284,45
1,1,285,42
1,1,286,39
1,1,287,41
1,1,288,53
1,1,289,48
1,1,290,38
1,1,291,50
1,1,292,50
1,1,293,52
1,1,294,40
1,1,295,52
1,1,296,37
1,1,297,52
1,1,298,48
1,1,299,43
1,1,300,52
1,1,301,45
1,1,302,46
1,1,303,39
1,1,304,53
1,1,305,47
1,1,306,43
1,1,307,46
1,1,308,37
1,1,309,49
1,1,310,48
1,1,311,48
1,1,312,39
1,1,313,52
1,1,314,40
1,1,315,41
1,1,316,50
1,1,317,45
1,1,318,42
1,1,319,36
1,1,320,37
1,1,321,44
1,1,322,50
1,1,323,51
1,1,324,40
1,1,325,50
1,1,326,42
1,1,327,40
1,1,328,43
1,1,329,47
1,1,330,36
1,1,331,39
1,1,332,41
1,1,333,46
1,1,334,38
1,1,335,46
1,1,336,37
1,1,337,50
1,1,338,51
1,1,339,52
1,1,340,41
1,1,341,42
1,1,342,50
1,1,343,39
1,1,344,40
1,1,345,46
1,1,346,43
1,1,347,42
1,1,348,38
1,1,349,44
1,1,350,47
1,1,351,37
1,1,352,51
1,1,353,36
1,1,354,53
1,1,355,45
1,1,356,37
1,1,357,51
1,1,358,52
1,1,359,37
1,1,360,47
1,1,361,40
1,1,362,36
1,1,363,50
1,1,364,44
1,1,365,40
2,1,1,22
2,1,2,22
2,1,3,23
2,1,4,26
2,1,5,24
2,1,6,20
2,1,7,27
2,1,8,20
2,1,9,20
2,1,10,21
2,1,11,26
2,1,12,20
2,1,13,21
2,1,14,22
2,1,15,26
2,1,16,20
2,1,17,22
2,1,18,23
2,1,19,28
2,1,20,22
2,1,21,23
2,1,22,22
2,1,23,27
2,1,24,24
2,1,25,22
2,1,26,26
2,1,27,21
2,1,28,27
2,1,29,27
2,1,30,23
2,1,31,21
2,1,32,22
2,1,33,21
2,1,34,26
2,1,35,26
2,1,36,22
2,1,37,26
2,1,38,21
2,1,39,22
2,1,40,26
2,1,41,20
2,1,42,27
2,1,43,24
2,1,44,20
2,1,45,21
2,1,46,28
2,1,47,26
2,1,48,21
2,1,49,24
2,1,50,20
2,1,51,21
