Especialidad,Sector,Dia,ceit
1,1,1,2377
2,1,1,2558
3,1,1,2861
4,1,1,3159
5,1,1,3196
6,1,1,3748
1,2,1,1474
2,2,1,1632
3,2,1,1865
4,2,1,1927
5,2,1,1909
6,2,1,2365
1,3,1,1215
2,3,1,1256
3,3,1,1427
4,3,1,1551
5,3,1,1554
6,3,1,1850
1,4,1,4027
2,4,1,4339
3,4,1,4828
4,4,1,5214
5,4,1,5258
6,4,1,6009
1,5,1,2377
2,5,1,2580
3,5,1,2928
4,5,1,3166
5,5,1,3128
6,5,1,3752
1,6,1,1317
2,6,1,1406
3,6,1,1567
4,6,1,1726
5,6,1,1742
6,6,1,2089
1,7,1,2961
2,7,1,3295
3,7,1,3603
4,7,1,3928
5,7,1,3997
6,7,1,4659
1,8,1,2436
2,8,1,2552
3,8,1,2901
4,8,1,3185
5,8,1,3196
6,8,1,3704
1,1,2,2365
2,1,2,2614
3,1,2,2942
4,1,2,3110
5,1,2,3195
6,1,2,3745
1,2,2,1490
2,2,2,1694
3,2,2,1813
4,2,2,1973
5,2,2,1942
6,2,2,2363
1,3,2,1174
2,3,2,1342
3,3,2,1491
4,3,2,1586
5,3,2,1575
6,3,2,1862
1,4,2,4037
2,4,2,4271
3,4,2,4800
4,4,2,5229
5,4,2,5212
6,4,2,5967
1,5,2,2413
2,5,2,2612
3,5,2,2940
4,5,2,3172
5,5,2,3134
6,5,2,3738
1,6,2,1274
2,6,2,1486
3,6,2,1588
4,6,2,1717
5,6,2,1799
6,6,2,2132
1,7,2,2973
2,7,2,3287
3,7,2,3665
4,7,2,3957
5,7,2,3940
6,7,2,4692
1,8,2,2405
2,8,2,2637
3,8,2,2923
4,8,2,3196
5,8,2,3185
6,8,2,3789
1,1,3,2428
2,1,3,2566
3,1,3,2882
4,1,3,3199
5,1,3,3136
6,1,3,3726
1,2,3,1467
2,2,3,1664
3,2,3,1881
4,2,3,1973
5,2,3,1950
6,2,3,2368
1,3,3,1152
2,3,3,1278
3,3,3,1402
4,3,3,1614
5,3,3,1566
6,3,3,1882
1,4,3,3970
2,4,3,4326
3,4,3,4808
4,4,3,5285
5,4,3,5262
6,4,3,6047
1,5,3,2382
2,5,3,2647
3,5,3,2869
4,5,3,3151
5,5,3,3164
6,5,3,3766
1,6,3,1313
2,6,3,1467
3,6,3,1579
4,6,3,1766
5,6,3,1707
6,6,3,2075
1,7,3,2968
2,7,3,3206
3,7,3,3652
4,7,3,3972
5,7,3,3905
6,7,3,4652
1,8,3,2351
2,8,3,2649
3,8,3,2866
4,8,3,3195
5,8,3,3118
6,8,3,3720
1,1,4,2407
2,1,4,2618
3,1,4,2912
4,1,4,3162
5,1,4,3119
6,1,4,3784
1,2,4,1540
2,2,4,1690
3,2,4,1802
4,2,4,1908
5,2,4,1958
6,2,4,2370
1,3,4,1244
2,3,4,1265
3,3,4,1494
4,3,4,1624
5,3,4,1545
6,3,4,1881
1,4,4,3983
2,4,4,4263
3,4,4,4798
4,4,4,5244
5,4,4,5222
6,4,4,6046
1,5,4,2414
2,5,4,2562
3,5,4,2901
4,5,4,3153
5,5,4,3137
6,5,4,3765
1,6,4,1314
2,6,4,1454
3,6,4,1641
4,6,4,1737
5,6,4,1793
6,6,4,2092
1,7,4,3045
2,7,4,3241
3,7,4,3673
4,7,4,3950
5,7,4,3914
6,7,4,4644
1,8,4,2445
2,8,4,2635
3,8,4,2931
4,8,4,3143
5,8,4,3116
6,8,4,3728
1,1,5,2390
2,1,5,2575
3,1,5,2941
4,1,5,3198
5,1,5,3113
6,1,5,3774
1,2,5,1457
2,2,5,1638
3,2,5,1804
4,2,5,1909
5,2,5,1956
6,2,5,2351
1,3,5,1243
2,3,5,1298
3,3,5,1457
4,3,5,1581
5,3,5,1540
6,3,5,1852
1,4,5,4010
2,4,5,4331
3,4,5,4771
4,4,5,5231
5,4,5,5279
6,4,5,5978
1,5,5,2410
2,5,5,2622
3,5,5,2919
4,5,5,3123
5,5,5,3119
6,5,5,3766
1,6,5,1317
2,6,5,1431
3,6,5,1627
4,6,5,1706
5,6,5,1795
6,6,5,2150
1,7,5,3001
2,7,5,3289
3,7,5,3659
4,7,5,3998
5,7,5,3992
6,7,5,4661
1,8,5,2411
2,8,5,2616
3,8,5,2910
4,8,5,3109
5,8,5,3176
6,8,5,3735
1,1,6,2426
2,1,6,2607
3,1,6,2894
4,1,6,3133
5,1,6,3194
6,1,6,3785
1,2,6,1496
2,2,6,1679
3,2,6,1881
4,2,6,1917
5,2,6,1979
6,2,6,2312
1,3,6,1236
2,3,6,1337
3,3,6,1460
4,3,6,1615
5,3,6,1618
6,3,6,1837
1,4,6,4008
2,4,6,4273
3,4,6,4809
4,4,6,5253
5,4,6,5288
6,4,6,5997
1,5,6,2364
2,5,6,2593
3,5,6,2934
4,5,6,3114
5,5,6,3176
6,5,6,3720
1,6,6,1265
2,6,6,1490
3,6,6,1567
4,6,6,1769
5,6,6,1700
6,6,6,2089
1,7,6,3001
2,7,6,3274
3,7,6,3605
4,7,6,3912
5,7,6,3977
6,7,6,4638
1,8,6,2362
2,8,6,2570
3,8,6,2929
4,8,6,3113
5,8,6,3165
6,8,6,3767
1,1,7,2426
2,1,7,2624
3,1,7,2872
4,1,7,3104
5,1,7,3101
6,1,7,3741
1,2,7,1513
2,2,7,1646
3,2,7,1832
4,2,7,1966
5,2,7,1908
6,2,7,2304
1,3,7,1228
2,3,7,1316
3,3,7,1405
4,3,7,1539
5,3,7,1566
6,3,7,1867
1,4,7,3999
2,4,7,4301
3,4,7,4840
4,4,7,5221
5,4,7,5201
6,4,7,5995
1,5,7,2431
2,5,7,2552
3,5,7,2909
4,5,7,3123
5,5,7,3146
6,5,7,3781
1,6,7,1256
2,6,7,1431
3,6,7,1618
4,6,7,1756
5,6,7,1754
6,6,7,2062
1,7,7,2962
2,7,7,3277
3,7,7,3650
4,7,7,3977
5,7,7,3914
6,7,7,4672
1,8,7,2439
2,8,7,2564
3,8,7,2897
4,8,7,3150
5,8,7,3176
6,8,7,3701
1,1,8,2361
2,1,8,2590
3,1,8,2895
4,1,8,3194
5,1,8,3158
6,1,8,3758
1,2,8,1464
2,2,8,1640
3,2,8,1854
4,2,8,1986
5,2,8,1942
6,2,8,2330
1,3,8,1154
2,3,8,1280
3,3,8,1451
4,3,8,1622
5,3,8,1575
6,3,8,1895
1,4,8,3960
2,4,8,4288
3,4,8,4787
4,4,8,5216
5,4,8,5282
6,4,8,5986
1,5,8,2395
2,5,8,2605
3,5,8,2928
4,5,8,3180
5,5,8,3113
6,5,8,3717
1,6,8,1326
2,6,8,1437
3,6,8,1602
4,6,8,1714
5,6,8,1746
6,6,8,2059
1,7,8,2989
2,7,8,3227
3,7,8,3696
4,7,8,3947
5,7,8,3957
6,7,8,4624
1,8,8,2357
2,8,8,2599
3,8,8,2935
4,8,8,3133
5,8,8,3142
6,8,8,3779
1,1,9,2399
2,1,9,2620
3,1,9,2909
4,1,9,3163
5,1,9,3197
6,1,9,3715
1,2,9,1468
2,2,9,1641
3,2,9,1899
4,2,9,1924
5,2,9,1973
6,2,9,2366
1,3,9,1204
2,3,9,1333
3,3,9,1487
4,3,9,1606
5,3,9,1611
6,3,9,1894
1,4,9,3981
2,4,9,4285
3,4,9,4790
4,4,9,5264
5,4,9,5202
6,4,9,5985
1,5,9,2391
2,5,9,2627
3,5,9,2878
4,5,9,3143
5,5,9,3173
6,5,9,3737
1,6,9,1326
2,6,9,1483
3,6,9,1567
4,6,9,1709
5,6,9,1731
6,6,9,2141
1,7,9,2978
2,7,9,3205
3,7,9,3610
4,7,9,3985
5,7,9,3938
6,7,9,4684
1,8,9,2420
2,8,9,2626
3,8,9,2856
4,8,9,3131
5,8,9,3181
6,8,9,3783
1,1,10,2368
2,1,10,2584
3,1,10,2922
4,1,10,3176
5,1,10,3116
6,1,10,3768
1,2,10,1542
2,2,10,1685
3,2,10,1886
4,2,10,1903
5,2,10,1943
6,2,10,2301
1,3,10,1194
2,3,10,1302
3,3,10,1413
4,3,10,1549
5,3,10,1533
6,3,10,1895
1,4,10,3981
2,4,10,4257
3,4,10,4796
4,4,10,5272
5,4,10,5284
6,4,10,5958
1,5,10,2421
2,5,10,2632
3,5,10,2871
4,5,10,3114
5,5,10,3104
6,5,10,3729
1,6,10,1305
2,6,10,1470
3,6,10,1622
4,6,10,1795
5,6,10,1700
6,6,10,2103
1,7,10,3043
2,7,10,3245
3,7,10,3623
4,7,10,3919
5,7,10,3962
6,7,10,4649
1,8,10,2416
2,8,10,2614
3,8,10,2908
4,8,10,3180
5,8,10,3156
6,8,10,3739
1,1,11,2397
2,1,11,2581
3,1,11,2908
4,1,11,3117
5,1,11,3185
6,1,11,3716
1,2,11,1484
2,2,11,1653
3,2,11,1804
4,2,11,1948
5,2,11,2000
6,2,11,2330
1,3,11,1177
2,3,11,1273
3,3,11,1498
4,3,11,1616
5,3,11,1600
6,3,11,1907
1,4,11,3963
2,4,11,4328
3,4,11,4829
4,4,11,5203
5,4,11,5200
6,4,11,6028
1,5,11,2428
2,5,11,2612
3,5,11,2927
4,5,11,3167
5,5,11,3165
6,5,11,3702
1,6,11,1252
2,6,11,1413
3,6,11,1607
4,6,11,1743
5,6,11,1768
6,6,11,2059
1,7,11,2959
2,7,11,3295
3,7,11,3616
4,7,11,3951
5,7,11,3996
6,7,11,4696
1,8,11,2435
2,8,11,2599
3,8,11,2894
4,8,11,3110
5,8,11,3179
6,8,11,3760
1,1,12,2366
2,1,12,2551
3,1,12,2872
4,1,12,3118
5,1,12,3188
6,1,12,3782
1,2,12,1532
2,2,12,1614
3,2,12,1828
4,2,12,1917
5,2,12,1956
6,2,12,2370
1,3,12,1168
2,3,12,1307
3,3,12,1487
4,3,12,1546
5,3,12,1580
6,3,12,1857
1,4,12,3983
2,4,12,4337
3,4,12,4795
4,4,12,5257
5,4,12,5229
6,4,12,6026
1,5,12,2410
2,5,12,2564
3,5,12,2896
4,5,12,3192
5,5,12,3104
6,5,12,3756
1,6,12,1315
2,6,12,1402
3,6,12,1575
4,6,12,1736
5,6,12,1760
6,6,12,2139
1,7,12,2966
2,7,12,3217
3,7,12,3690
4,7,12,3973
5,7,12,3973
6,7,12,4666
1,8,12,2397
2,8,12,2631
3,8,12,2854
4,8,12,3137
5,8,12,3117
6,8,12,3700
1,1,13,2433
2,1,13,2572
3,1,13,2905
4,1,13,3114
5,1,13,3182
6,1,13,3781
1,2,13,1457
2,2,13,1614
3,2,13,1842
4,2,13,1900
5,2,13,1978
6,2,13,2353
1,3,13,1200
2,3,13,1253
3,3,13,1449
4,3,13,1569
5,3,13,1554
6,3,13,1836
1,4,13,4021
2,4,13,4271
3,4,13,4821
4,4,13,5233
5,4,13,5221
6,4,13,5978
1,5,13,2441
2,5,13,2623
3,5,13,2861
4,5,13,3163
5,5,13,3133
6,5,13,3774
1,6,13,1296
2,6,13,1465
3,6,13,1563
4,6,13,1784
5,6,13,1773
6,6,13,2119
1,7,13,3034
2,7,13,3236
3,7,13,3682
4,7,13,3975
5,7,13,3976
6,7,13,4605
1,8,13,2376
2,8,13,2608
3,8,13,2880
4,8,13,3157
5,8,13,3112
6,8,13,3755
1,1,14,2425
2,1,14,2630
3,1,14,2917
4,1,14,3131
5,1,14,3193
6,1,14,3746
1,2,14,1458
2,2,14,1608
3,2,14,1811
4,2,14,1995
5,2,14,1982
6,2,14,2313
1,3,14,1214
