Especialidad,Sector,Dia,keit
1,1,1,4
1,1,2,4
1,1,3,4
1,1,4,4
1,1,5,4
1,1,6,4
1,1,7,4
1,1,8,4
1,1,9,4
1,1,10,4
1,1,11,4
1,1,12,4
1,1,13,4
1,1,14,4
1,1,15,4
1,1,16,4
1,1,17,4
1,1,18,4
1,1,19,4
1,1,20,4
1,1,21,4
1,1,22,4
1,1,23,4
1,1,24,4
1,1,25,4
1,1,26,4
1,1,27,4
1,1,28,4
1,1,29,4
1,1,30,4
1,1,31,4
1,2,1,3
1,2,2,3
1,2,3,3
1,2,4,3
1,2,5,3
1,2,6,3
1,2,7,3
1,2,8,3
1,2,9,3
1,2,10,3
1,2,11,3
1,2,12,3
1,2,13,3
1,2,14,3
1,2,15,3
1,2,16,3
1,2,17,3
1,2,18,3
1,2,19,3
1,2,20,3
1,2,21,3
1,2,22,3
1,2,23,3
1,2,24,3
1,2,25,3
1,2,26,3
1,2,27,3
1,2,28,3
1,2,29,3
1,2,30,3
1,2,31,3
1,3,1,3
1,3,2,3
1,3,3,3
1,3,4,3
1,3,5,3
1,3,6,3
1,3,7,3
1,3,8,3
1,3,9,3
1,3,10,3
1,3,11,3
1,3,12,3
1,3,13,3
1,3,14,3
1,3,15,3
1,3,16,3
1,3,17,3
1,3,18,3
1,3,19,3
1,3,20,3
1,3,21,3
1,3,22,3
1,3,23,3
1,3,24,3
1,3,25,3
1,3,26,3
1,3,27,3
1,3,28,3
1,3,29,3
1,3,30,3
1,3,31,3
1,4,1,2
1,4,2,2
1,4,3,2
1,4,4,2
1,4,5,2
1,4,6,2
1,4,7,2
1,4,8,2
1,4,9,2
1,4,10,2
1,4,11,2
1,4,12,2
1,4,13,2
1,4,14,2
1,4,15,2
1,4,16,2
1,4,17,2
1,4,18,2
1,4,19,2
1,4,20,2
1,4,21,2
1,4,22,2
1,4,23,2
1,4,24,2
1,4,25,2
1,4,26,2
1,4,27,2
1,4,28,2
1,4,29,2
1,4,30,2
1,4,31,2
1,5,1,3
1,5,2,3
1,5,3,3
1,5,4,3
1,5,5,3
1,5,6,3
1,5,7,3
1,5,8,3
1,5,9,3
1,5,10,3
1,5,11,3
1,5,12,3
1,5,13,3
1,5,14,3
1,5,15,3
1,5,16,3
1,5,17,3
1,5,18,3
1,5,19,3
1,5,20,3
1,5,21,3
1,5,22,3
1,5,23,3
1,5,24,3
1,5,25,3
1,5,26,3
1,5,27,3
1,5,28,3
1,5,29,3
1,5,30,3
1,5,31,3
1,6,1,2
1,6,2,2
1,6,3,2
1,6,4,2
1,6,5,2
1,6,6,2
1,6,7,2
1,6,8,2
1,6,9,2
1,6,10,2
1,6,11,2
1,6,12,2
1,6,13,2
1,6,14,2
1,6,15,2
1,6,16,2
1,6,17,2
1,6,18,2
1,6,19,2
1,6,20,2
1,6,21,2
1,6,22,2
1,6,23,2
1,6,24,2
1,6,25,2
1,6,26,2
1,6,27,2
1,6,28,2
1,6,29,2
1,6,30,2
1,6,31,2
1,7,1,4
1,7,2,4
1,7,3,4
1,7,4,4
1,7,5,4
1,7,6,4
1,7,7,4
1,7,8,4
1,7,9,4
1,7,10,4
1,7,11,4
1,7,12,4
1,7,13,4
1,7,14,4
1,7,15,4
1,7,16,4
1,7,17,4
1,7,18,4
1,7,19,4
1,7,20,4
1,7,21,4
1,7,22,4
1,7,23,4
1,7,24,4
1,7,25,4
1,7,26,4
1,7,27,4
1,7,28,4
1,7,29,4
1,7,30,4
1,7,31,4
1,8,1,3
1,8,2,3
1,8,3,3
1,8,4,3
1,8,5,3
1,8,6,3
1,8,7,3
1,8,8,3
1,8,9,3
1,8,10,3
1,8,11,3
1,8,12,3
1,8,13,3
1,8,14,3
1,8,15,3
1,8,16,3
1,8,17,3
1,8,18,3
1,8,19,3
1,8,20,3
1,8,21,3
1,8,22,3
1,8,23,3
1,8,24,3
1,8,25,3
1,8,26,3
1,8,27,3
1,8,28,3
1,8,29,3
1,8,30,3
1,8,31,3
2,1,1,21
2,1,2,21
2,1,3,21
2,1,4,21
2,1,5,21
2,1,6,21
2,1,7,21
2,1,8,21
2,1,9,21
2,1,10,21
2,1,11,21
2,1,12,21
2,1,13,21
2,1,14,21
2,1,15,21
2,1,16,21
2,1,17,21
2,1,18,21
2,1,19,21
2,1,20,21
2,1,21,21
2,1,22,21
2,1,23,21
2,1,24,21
2,1,25,21
2,1,26,21
2,1,27,21
2,1,28,21
2,1,29,21
2,1,30,21
2,1,31,21
2,2,1,17
2,2,2,17
2,2,3,17
2,2,4,17
2,2,5,17
2,2,6,17
2,2,7,17
2,2,8,17
2,2,9,17
2,2,10,17
2,2,11,17
2,2,12,17
2,2,13,17
2,2,14,17
2,2,15,17
2,2,16,17
2,2,17,17
2,2,18,17
2,2,19,17
2,2,20,17
2,2,21,17
2,2,22,17
2,2,23,17
2,2,24,17
2,2,25,17
2,2,26,17
2,2,27,17
2,2,28,17
2,2,29,17
2,2,30,17
2,2,31,17
2,3,1,13
2,3,2,13
2,3,3,13
2,3,4,13
2,3,5,13
2,3,6,13
2,3,7,13
2,3,8,13
2,3,9,13
2,3,10,13
2,3,11,13
2,3,12,13
2,3,13,13
2,3,14,13
2,3,15,13
2,3,16,13
2,3,17,13
2,3,18,13
2,3,19,13
2,3,20,13
2,3,21,13
2,3,22,13
2,3,23,13
2,3,24,13
2,3,25,13
2,3,26,13
2,3,27,13
2,3,28,13
2,3,29,13
2,3,30,13
2,3,31,13
2,4,1,12
2,4,2,12
2,4,3,12
2,4,4,12
2,4,5,12
2,4,6,12
