Especialidad,Sector,Dia,ueit
1,1,1,7
1,1,2,7
1,1,3,7
1,1,4,7
1,1,5,7
1,1,6,7
1,1,7,7
1,1,8,7
1,1,9,7
1,1,10,7
1,1,11,7
1,1,12,7
1,1,13,7
1,1,14,7
1,1,15,7
1,1,16,7
1,1,17,7
1,1,18,7
1,1,19,7
1,1,20,7
1,1,21,7
1,1,22,7
1,1,23,7
1,1,24,7
1,1,25,7
1,1,26,7
1,1,27,7
1,1,28,7
1,1,29,7
1,1,30,7
1,1,31,7
1,2,1,6
1,2,2,6
1,2,3,6
1,2,4,6
1,2,5,6
1,2,6,6
1,2,7,6
1,2,8,6
1,2,9,6
1,2,10,6
1,2,11,6
1,2,12,6
1,2,13,6
1,2,14,6
1,2,15,6
1,2,16,6
1,2,17,6
1,2,18,6
1,2,19,6
1,2,20,6
1,2,21,6
1,2,22,6
1,2,23,6
1,2,24,6
1,2,25,6
1,2,26,6
1,2,27,6
1,2,28,6
1,2,29,6
1,2,30,6
1,2,31,6
1,3,1,6
1,3,2,6
1,3,3,6
1,3,4,6
1,3,5,6
1,3,6,6
1,3,7,6
1,3,8,6
1,3,9,6
1,3,10,6
1,3,11,6
1,3,12,6
1,3,13,6
1,3,14,6
1,3,15,6
1,3,16,6
1,3,17,6
1,3,18,6
1,3,19,6
1,3,20,6
1,3,21,6
1,3,22,6
1,3,23,6
1,3,24,6
1,3,25,6
1,3,26,6
1,3,27,6
1,3,28,6
1,3,29,6
1,3,30,6
1,3,31,6
1,4,1,4
1,4,2,4
1,4,3,4
1,4,4,4
1,4,5,4
1,4,6,4
1,4,7,4
1,4,8,4
1,4,9,4
1,4,10,4
1,4,11,4
1,4,12,4
1,4,13,4
1,4,14,4
1,4,15,4
1,4,16,4
1,4,17,4
1,4,18,4
1,4,19,4
1,4,20,4
1,4,21,4
1,4,22,4
1,4,23,4
1,4,24,4
1,4,25,4
1,4,26,4
1,4,27,4
1,4,28,4
1,4,29,4
1,4,30,4
1,4,31,4
1,5,1,6
1,5,2,6
1,5,3,6
1,5,4,6
1,5,5,6
1,5,6,6
1,5,7,6
1,5,8,6
1,5,9,6
1,5,10,6
1,5,11,6
1,5,12,6
1,5,13,6
1,5,14,6
1,5,15,6
1,5,16,6
1,5,17,6
1,5,18,6
1,5,19,6
1,5,20,6
1,5,21,6
1,5,22,6
1,5,23,6
1,5,24,6
1,5,25,6
1,5,26,6
1,5,27,6
1,5,28,6
1,5,29,6
1,5,30,6
1,5,31,6
1,6,1,4
1,6,2,4
1,6,3,4
1,6,4,4
1,6,5,4
1,6,6,4
1,6,7,4
1,6,8,4
1,6,9,4
1,6,10,4
1,6,11,4
1,6,12,4
1,6,13,4
1,6,14,4
1,6,15,4
1,6,16,4
1,6,17,4
1,6,18,4
1,6,19,4
1,6,20,4
1,6,21,4
1,6,22,4
1,6,23,4
1,6,24,4
1,6,25,4
1,6,26,4
1,6,27,4
1,6,28,4
1,6,29,4
1,6,30,4
1,6,31,4
1,7,1,7
1,7,2,7
1,7,3,7
1,7,4,7
1,7,5,7
1,7,6,7
1,7,7,7
1,7,8,7
1,7,9,7
1,7,10,7
1,7,11,7
1,7,12,7
1,7,13,7
1,7,14,7
1,7,15,7
1,7,16,7
1,7,17,7
1,7,18,7
1,7,19,7
1,7,20,7
1,7,21,7
1,7,22,7
1,7,23,7
1,7,24,7
1,7,25,7
1,7,26,7
1,7,27,7
1,7,28,7
1,7,29,7
1,7,30,7
1,7,31,7
1,8,1,6
1,8,2,6
1,8,3,6
1,8,4,6
1,8,5,6
1,8,6,6
1,8,7,6
1,8,8,6
1,8,9,6
1,8,10,6
1,8,11,6
1,8,12,6
1,8,13,6
1,8,14,6
1,8,15,6
1,8,16,6
1,8,17,6
1,8,18,6
1,8,19,6
1,8,20,6
1,8,21,6
1,8,22,6
1,8,23,6
1,8,24,6
1,8,25,6
1,8,26,6
1,8,27,6
1,8,28,6
1,8,29,6
1,8,30,6
1,8,31,6
2,1,1,31
2,1,2,31
2,1,3,31
2,1,4,31
2,1,5,31
2,1,6,31
2,1,7,31
2,1,8,31
2,1,9,31
2,1,10,31
2,1,11,31
2,1,12,31
2,1,13,31
2,1,14,31
2,1,15,31
2,1,16,31
2,1,17,31
2,1,18,31
2,1,19,31
2,1,20,31
2,1,21,31
2,1,22,31
2,1,23,31
2,1,24,31
2,1,25,31
2,1,26,31
2,1,27,31
2,1,28,31
2,1,29,31
2,1,30,31
2,1,31,31
2,2,1,25
2,2,2,25
2,2,3,25
2,2,4,25
2,2,5,25
2,2,6,25
2,2,7,25
2,2,8,25
2,2,9,25
2,2,10,25
2,2,11,25
2,2,12,25
2,2,13,25
2,2,14,25
2,2,15,25
2,2,16,25
2,2,17,25
2,2,18,25
2,2,19,25
2,2,20,25
2,2,21,25
2,2,22,25
2,2,23,25
2,2,24,25
2,2,25,25
2,2,26,25
2,2,27,25
2,2,28,25
2,2,29,25
2,2,30,25
